name	x	y	z	size	group	hemisphere	type	wb.region	ind.region	das.region	stein.region
RSF1	10.1251	71.8371	-15.7147	-999	RSF	R	strip	n/a	frontalpole	n/a	n/a
RSF2	21.0128	70.64	-12.1716	-999	RSF	R	strip	n/a	frontalpole	n/a	n/a
RSF5	46.3935	56.7594	1.51858	-999	RSF	R	strip	n/a	rostralmiddlefrontal	n/a	n/a
RSF6	49.2261	47.0722	6.04224	-999	RSF	R	strip	n/a	rostralmiddlefrontal	n/a	n/a
ROF1	-10.0429	37.6029	-24.1128	-999	ROF	L	strip	n/a	lateralorbitofrontal	n/a	n/a
ROF2	0.641637	33.31	-23.5692	-999	ROF	R	strip	n/a	medialorbitofrontal	n/a	n/a
ROF3	12.667	30.2318	-23.1261	-999	ROF	R	strip	n/a	medialorbitofrontal	n/a	n/a
ROF4	22.2739	27.8356	-18.4593	-999	ROF	R	strip	n/a	lateralorbitofrontal	n/a	n/a
ROF5	33.0877	24.7937	-15.8973	-999	ROF	R	strip	n/a	lateralorbitofrontal	n/a	n/a
ROF6	43.4207	22.4107	-10.2435	-999	ROF	R	strip	n/a	insula	n/a	n/a
RGRID1	16.2357	-21.7368	74.6068	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID2	24.7671	-14.5138	70.5809	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID3	32.5677	-7.91857	65.4865	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID4	39.582	-1.36148	58.1905	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID5	43.863	3.96583	49.9573	-999	RGRID	R	grid	n/a	caudalmiddlefrontal	n/a	n/a
RGRID6	48.084	9.27269	40.6036	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID7	50.2978	13.3678	31.3935	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID8	49.7275	17.4324	20.1006	-999	RGRID	R	grid	n/a	rostralmiddlefrontal	n/a	n/a
RGRID9	23.3826	-29.7356	72.0927	-999	RGRID	R	grid	n/a	postcentral	n/a	n/a
RGRID10	32.5845	-21.9053	68.0147	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID11	41.042	-16.5325	62.9057	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID12	45.3276	-10.5953	54.66	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID13	48.2166	-5.28316	45.3854	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID14	53.1591	-0.568386	37.125	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
RGRID15	54.6559	4.72866	26.8091	-999	RGRID	R	grid	n/a	precentral	n/a	n/a
