name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RM1-RM2	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM2-RM3	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM3-RM4	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM4-RM5	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM5-RM6	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM6-RM7	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM7-RM8	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM8-RM9	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM9-RM10	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RM10-RM1	SEEG	V	n/a	n/a	bipolar	RM	1000	depth	n/a
RN1-RN2	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN2-RN3	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN3-RN4	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN4-RN5	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN5-RN6	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN6-RN7	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN7-RN8	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN8-RN9	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN9-RN10	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN10-RN11	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN11-RN12	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN12-RN13	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN13-RN14	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN14-RN15	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN15-RN16	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RN16-RN1	SEEG	V	n/a	n/a	bipolar	RN	1000	depth	n/a
RK1-RK2	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK2-RK3	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK3-RK4	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK4-RK5	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK5-RK6	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK6-RK1	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK7-RK8	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK8-RK9	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK9-RK10	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK10-RK11	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK11-RK12	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RK12-RK7	SEEG	V	n/a	n/a	bipolar	RK	1000	depth	n/a
RD1-RD2	SEEG	V	n/a	n/a	bipolar	RD	1000	depth	n/a
RD2-RD3	SEEG	V	n/a	n/a	bipolar	RD	1000	depth	n/a
